Date,Account,Net,Type,Assignee,Assigned by,Status,Fan,Chat
"14 Mar, 2026 01:51 AM",alinashylife (id: 47639),56.00,Message,Георгий (id: 163475),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8884993594859
"14 Mar, 2026 01:35 AM",alinashylife (id: 47639),20.00,Message,Георгий (id: 163475),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8884897200493
"13 Mar, 2026 10:17 PM",alinashyvip (id: 47644),4.00,Tip,Андрей (id: 70354),-,Complete,giovaflo (id: 547754970),https://onlyfans.com/my/chats/chat/547754970
"13 Mar, 2026 11:30 AM",alina_shy (id: 47672),32.00,Tip,Ivan  BK (id: 134895),Ivan  BK (id: 134895),Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667
"12 Mar, 2026 03:27 PM",alinashylife (id: 47639),18.39,Message,Андрей (id: 70354),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=8867914785059
"12 Mar, 2026 02:51 PM",alinashylife (id: 47639),14.39,Message,Макс (id: 160016),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=8867667078302
"12 Mar, 2026 12:54 PM",alina_shy (id: 47672),4.00,Tip,Макс (id: 160016),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050
"12 Mar, 2026 12:34 PM",alina_shy (id: 47672),30.39,Message,Макс (id: 160016),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8866569435244
"12 Mar, 2026 12:16 PM",alina_shy (id: 47672),14.39,Message,Макс (id: 160016),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050?firstId=8866422021739
"12 Mar, 2026 03:20 AM",alinashylife (id: 47639),8.00,Message,Ivan  BK (id: 134895),-,Complete,u501325315 (id: 501325315),https://onlyfans.com/my/chats/chat/501325315?firstId=8862090918777
"10 Mar, 2026 11:13 AM",alinashylife (id: 47639),8.00,Tip,Макс (id: 160016),-,Complete,u433474398 (id: 433474398),https://onlyfans.com/my/chats/chat/433474398
"10 Mar, 2026 09:35 AM",alinashylife (id: 47639),6.40,Tip,Макс (id: 160016),-,Complete,u476163774 (id: 476163774),https://onlyfans.com/my/chats/chat/476163774
"10 Mar, 2026 08:16 AM",alinashylife (id: 47639),6.40,Message,Макс (id: 160016),-,Complete,u476163774 (id: 476163774),https://onlyfans.com/my/chats/chat/476163774?firstId=8840922861923
"09 Mar, 2026 12:30 AM",alinashylife (id: 47639),8.00,Message,Георгий (id: 163475),-,Complete,u546276402 (id: 546276402),https://onlyfans.com/my/chats/chat/546276402?firstId=8825359449413
"08 Mar, 2026 09:07 PM",alinashylife (id: 47639),32.00,Message,Георгий (id: 163475),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8823766283042
"08 Mar, 2026 08:34 PM",alinashylife (id: 47639),24.00,Message,Георгий (id: 163475),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8823502831446
"08 Mar, 2026 06:35 PM",alinashylife (id: 47639),14.40,Message,Георгий (id: 163475),-,Complete,u551489016 (id: 551489016),https://onlyfans.com/my/chats/chat/551489016?firstId=8822553286373
"08 Mar, 2026 06:13 PM",alinashylife (id: 47639),12.00,Message,Георгий (id: 163475),-,Complete,u551489016 (id: 551489016),https://onlyfans.com/my/chats/chat/551489016?firstId=8822359056865
"08 Mar, 2026 02:40 PM",alinashylife (id: 47639),24.00,Tip,Макс (id: 160016),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131
"08 Mar, 2026 02:18 PM",alina_shy (id: 47672),8.00,Tip,Макс (id: 160016),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667
"08 Mar, 2026 12:11 PM",alinashyvip (id: 47644),12.00,Tip,Макс (id: 160016),-,Complete,u293821951 (id: 293821951),https://onlyfans.com/my/chats/chat/293821951
"08 Mar, 2026 11:38 AM",alinashyvip (id: 47644),12.00,Tip,Макс (id: 160016),-,Complete,u293821951 (id: 293821951),https://onlyfans.com/my/chats/chat/293821951
"08 Mar, 2026 09:06 AM",alinashyvip (id: 47644),16.00,Tip,Макс (id: 160016),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762
"08 Mar, 2026 08:24 AM",alina_shy (id: 47672),6.40,Tip,Макс (id: 160016),-,Complete,u550282050 (id: 550282050),https://onlyfans.com/my/chats/chat/550282050
"07 Mar, 2026 11:46 PM",alinashylife (id: 47639),17.59,Message,Андрей (id: 70354),-,Complete,u551489016 (id: 551489016),https://onlyfans.com/my/chats/chat/551489016?firstId=8813596385792
"07 Mar, 2026 09:39 PM",alinashylife (id: 47639),28.00,Message,Андрей (id: 70354),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8812518824766
"07 Mar, 2026 09:22 PM",alinashylife (id: 47639),22.40,Message,Андрей (id: 70354),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8812412149127
"07 Mar, 2026 09:04 PM",alinashylife (id: 47639),15.19,Message,Андрей (id: 70354),-,Complete,z900rider (id: 50323131),https://onlyfans.com/my/chats/chat/50323131?firstId=8812252074468
"07 Mar, 2026 01:03 PM",alinashylife (id: 47639),4.00,Tip,Ivan  BK (id: 134895),Ivan  BK (id: 134895),Complete,u551854954 (id: 551854954),https://onlyfans.com/my/chats/chat/551854954
"07 Mar, 2026 01:03 PM",alinashylife (id: 47639),4.00,Tip,-,-,Refunded,u551854954 (id: 551854954),https://onlyfans.com/my/chats/chat/551854954
"07 Mar, 2026 11:45 AM",alinashyvip (id: 47644),8.79,Message,Макс (id: 160016),-,Complete,u293821951 (id: 293821951),https://onlyfans.com/my/chats/chat/293821951?firstId=8807773756532
"07 Mar, 2026 08:28 AM",alinashyvip (id: 47644),4.00,Tip,Макс (id: 160016),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762
"07 Mar, 2026 05:33 AM",alinashylife (id: 47639),21.59,Message,Андрей (id: 70354),-,Complete,u4619973 (id: 4619973),https://onlyfans.com/my/chats/chat/4619973?firstId=8804925451607
"07 Mar, 2026 05:12 AM",alinashylife (id: 47639),12.79,Message,Андрей (id: 70354),-,Complete,u4619973 (id: 4619973),https://onlyfans.com/my/chats/chat/4619973?firstId=8804740713881
"07 Mar, 2026 03:27 AM",alina_shy (id: 47672),29.59,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8803847673139
"07 Mar, 2026 02:55 AM",alinashylife (id: 47639),6.40,Post,Ivan  BK (id: 134895),-,Complete,u4619973 (id: 4619973),https://onlyfans.com/my/chats/chat/4619973?firstId=2226388331
"07 Mar, 2026 02:52 AM",alina_shy (id: 47672),23.19,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8803540169443
"07 Mar, 2026 02:25 AM",alina_shy (id: 47672),18.39,Message,Андрей (id: 70354),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667?firstId=8803324080208
"07 Mar, 2026 01:23 AM",alinashyvip (id: 47644),29.59,Message,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8802793205950
"07 Mar, 2026 01:08 AM",alinashyvip (id: 47644),21.59,Message,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8802659224220
"07 Mar, 2026 12:57 AM",alinashyvip (id: 47644),8.00,Message,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8802565180307
"06 Mar, 2026 10:47 PM",alinashyvip (id: 47644),26.39,Message,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8801510779037
"06 Mar, 2026 10:34 PM",alinashyvip (id: 47644),19.99,Message,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8801408890178
"06 Mar, 2026 09:47 PM",alinashyvip (id: 47644),14.39,Message,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762?firstId=8800939153392
"06 Mar, 2026 07:52 PM",alina_shy (id: 47672),13.59,Message,Андрей (id: 70354),-,Complete,u555108170 (id: 555108170),https://onlyfans.com/my/chats/chat/555108170?firstId=8800018228982
"06 Mar, 2026 07:43 PM",alina_shy (id: 47672),9.60,Message,Андрей (id: 70354),-,Complete,u555108170 (id: 555108170),https://onlyfans.com/my/chats/chat/555108170?firstId=8799950388654
"06 Mar, 2026 07:18 PM",alinashyvip (id: 47644),8.00,Tip,Андрей (id: 70354),-,Complete,u532489762 (id: 532489762),https://onlyfans.com/my/chats/chat/532489762
"06 Mar, 2026 04:33 PM",alinashylife (id: 47639),16.00,Tip,Андрей (id: 70354),-,Complete,anonpervuser (id: 553477912),https://onlyfans.com/my/chats/chat/553477912
"06 Mar, 2026 04:32 PM",alinashyvip (id: 47644),24.00,Tip,Андрей (id: 70354),-,Complete,u293821951 (id: 293821951),https://onlyfans.com/my/chats/chat/293821951
"06 Mar, 2026 02:54 PM",alinashylife (id: 47639),12.79,Message,Макс (id: 160016),-,Complete,u433474398 (id: 433474398),https://onlyfans.com/my/chats/chat/433474398?firstId=8796679121237
"06 Mar, 2026 12:08 PM",alinashylife (id: 47639),8.00,Tip,Макс (id: 160016),-,Complete,u433474398 (id: 433474398),https://onlyfans.com/my/chats/chat/433474398
"06 Mar, 2026 09:51 AM",alinashyvip (id: 47644),4.00,Tip,Макс (id: 160016),-,Complete,remak (id: 425308670),https://onlyfans.com/my/chats/chat/425308670
"06 Mar, 2026 09:18 AM",alinashyvip (id: 47644),4.00,Tip,Макс (id: 160016),-,Complete,remak (id: 425308670),https://onlyfans.com/my/chats/chat/425308670
"05 Mar, 2026 11:05 PM",alinashylife (id: 47639),10.39,Message,Андрей (id: 70354),-,Complete,u433474398 (id: 433474398),https://onlyfans.com/my/chats/chat/433474398?firstId=8789749952519
"05 Mar, 2026 08:30 PM",alina_shy (id: 47672),9.60,Message,Андрей (id: 70354),-,Complete,u224983591 (id: 224983591),https://onlyfans.com/my/chats/chat/224983591?firstId=8788501684871
"05 Mar, 2026 01:18 PM",alinashylife (id: 47639),8.00,Tip,Макс (id: 160016),-,Complete,u433474398 (id: 433474398),https://onlyfans.com/my/chats/chat/433474398
"05 Mar, 2026 02:23 AM",alina_shy (id: 47672),8.00,Tip,Ivan  BK (id: 134895),-,Complete,u522937667 (id: 522937667),https://onlyfans.com/my/chats/chat/522937667
"04 Mar, 2026 10:40 PM",alinashylife (id: 47639),4.00,Message,Андрей (id: 70354),-,Complete,u541816723 (id: 541816723),https://onlyfans.com/my/chats/chat/541816723?firstId=8777643321417
"04 Mar, 2026 10:37 PM",alinashyvip (id: 47644),15.99,Message,Андрей (id: 70354),-,Complete,tomtudor (id: 46354708),https://onlyfans.com/my/chats/chat/46354708?firstId=8777629557190
"04 Mar, 2026 09:37 PM",alinashyvip (id: 47644),24.00,Tip,Андрей (id: 70354),-,Complete,tomtudor (id: 46354708),https://onlyfans.com/my/chats/chat/46354708
"04 Mar, 2026 10:38 AM",alinashylife (id: 47639),4.00,Tip,Андрей (id: 70354),Ivan  BK (id: 134895),Complete,anonpervuser (id: 553477912),https://onlyfans.com/my/chats/chat/553477912
"04 Mar, 2026 02:17 AM",alina_shy (id: 47672),5.59,Message,Ivan  BK (id: 134895),Ivan  BK (id: 134895),Complete,u513559528 (id: 513559528),https://onlyfans.com/my/chats/chat/513559528?firstId=8767504346478
